country,iso3,year,gdp_current_usd
Argentina,ARG,1960,15865474315.4056
Argentina,ARG,1961,20132220374.9093
Argentina,ARG,1962,18337691145.3688
Argentina,ARG,1963,18272123664.4715
Argentina,ARG,1964,25605249381.7597
Argentina,ARG,1965,28344705966.6389
Argentina,ARG,1966,28630474727.9023
Argentina,ARG,1967,24256667553.2569
Argentina,ARG,1968,26436857247.4982
Argentina,ARG,1969,31256284543.6155
Argentina,ARG,1970,31584210365.5447
Argentina,ARG,1971,33293199095.4881
Argentina,ARG,1972,34733000536.2862
Argentina,ARG,1973,52544000116.9037
Argentina,ARG,1974,72436777342.4554
Argentina,ARG,1975,52438647921.9226
Argentina,ARG,1976,51169499892.1722
Argentina,ARG,1977,56781000101.0848
Argentina,ARG,1978,89049453088.3282
Argentina,ARG,1979,69252328951.6441
Argentina,ARG,1980,76961923741.0701
Argentina,ARG,1981,78676842366.5529
Argentina,ARG,1982,84307486836.724
Argentina,ARG,1983,103979106777.911
Argentina,ARG,1984,116915052107.031
Argentina,ARG,1985,88150891728.1064
Argentina,ARG,1986,105872372613.857
Argentina,ARG,1987,108810885301.253
Argentina,ARG,1988,126890235049.092
Argentina,ARG,1989,76629728760.123
Argentina,ARG,1990,141352654305.163
Argentina,ARG,1991,189719984268.485
Argentina,ARG,1992,228778917308.17
Argentina,ARG,1993,236741715015.015
Argentina,ARG,1994,257440000000.0
Argentina,ARG,1995,258031750000.0
Argentina,ARG,1996,272149750000.0
Argentina,ARG,1997,292859000000.0
Argentina,ARG,1998,298948250000.0
Argentina,ARG,1999,283523000000.0
Argentina,ARG,2000,284203750000.0
Argentina,ARG,2001,268696750000.0
Argentina,ARG,2002,97724004251.8602
Argentina,ARG,2003,127586973492.177
Argentina,ARG,2004,164657930452.787
Argentina,ARG,2005,198737095012.282
Argentina,ARG,2006,232557260817.308
Argentina,ARG,2007,287530508430.568
Argentina,ARG,2008,361558037110.419
Argentina,ARG,2009,332976484577.619
Argentina,ARG,2010,423627422092.49
Argentina,ARG,2011,530158122010.442
Argentina,ARG,2012,545982375701.128
Argentina,ARG,2013,552025140252.246
Argentina,ARG,2014,526319673731.638
Argentina,ARG,2015,594749285413.212
Argentina,ARG,2016,557532320662.955
Argentina,ARG,2017,643628393281.364
Argentina,ARG,2018,524819892360.176
Argentina,ARG,2019,447754683615.225
Argentina,ARG,2020,385740508436.965
Argentina,ARG,2021,486564085480.036
Argentina,ARG,2022,633993756301.08
Argentina,ARG,2023,649461687959.174
Argentina,ARG,2024,638365455340.04
Australia,AUS,1960,18635682981.7093
Australia,AUS,1961,19713123154.0997
Australia,AUS,1962,19953923192.6277
Australia,AUS,1963,21573443451.751
Australia,AUS,1964,23835843813.735
Australia,AUS,1965,26014244162.2791
Australia,AUS,1966,27349284375.8855
Australia,AUS,1967,30487524878.004
Australia,AUS,1968,32763365242.1384
Australia,AUS,1969,36738245878.1193
Australia,AUS,1970,41395206623.2331
Australia,AUS,1971,45283847245.4156
Australia,AUS,1972,52117990654.2056
Australia,AUS,1973,63923126201.1531
Australia,AUS,1974,89086219602.0634
Australia,AUS,1975,97440939505.6671
Australia,AUS,1976,105209354855.787
Australia,AUS,1977,110504702913.512
Australia,AUS,1978,118660813779.849
Australia,AUS,1979,135093718050.665
Australia,AUS,1980,150200557103.064
Australia,AUS,1981,177151979565.773
Australia,AUS,1982,194323071830.52
Australia,AUS,1983,177523719680.081
Australia,AUS,1984,193749932078.26
Australia,AUS,1985,180861108959.102
Australia,AUS,1986,182707050923.335
Australia,AUS,1987,189726707252.515
Australia,AUS,1988,236461079970.431
Australia,AUS,1989,300264309002.14
Australia,AUS,1990,311840666465.053
Australia,AUS,1991,326416407860.792
Australia,AUS,1992,325982966981.415
Australia,AUS,1993,312568858909.5
Australia,AUS,1994,323269456935.317
Australia,AUS,1995,368725126225.126
Australia,AUS,1996,401962517479.122
Australia,AUS,1997,436321902767.408
Australia,AUS,1998,400361527504.578
Australia,AUS,1999,390347787943.351
Australia,AUS,2000,416901962163.479
