year,Argentina,Australia,Austria,Belarus,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Cuba,Czechia,Denmark,Ecuador,Estonia,European Union,Finland,France,Germany,Guatemala,Hungary,Iceland,India,Italy,Japan,Kazakhstan,"Korea, Rep.",Malaysia,Mauritius,Monaco,Namibia,Netherlands,New Zealand,Norway,Pakistan,Panama,Papua New Guinea,Peru,Poland,Portugal,Romania,Russian Federation,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkiye,Ukraine,United Kingdom,United States,Uruguay,Vanuatu,"Venezuela, RB"
1960,15865474315.4056,18635682981.7093,6624086313.14334,,11810619368.3874,17030465539.3906,,40563768946.9503,4211103676.74027,59846235024.7318,4031152976.63904,,,6361166544.50349,2069464937.19791,,285151593517.865,5279481824.12983,61959085885.3427,84619845881.2608,1043599900.0,,260984498.826389,37029883876.1839,42012422612.3955,47419238274.4619,,3973069306.93069,1916229477.13657,162089563.829564,,,13282979014.563,5536098360.49526,5197398721.41367,3749265014.69971,537147100.0,230496036.879366,2571986572.12719,,3339150157.85605,,,,,8748596500.5614,12424514013.7604,15930075466.8898,10412232620.5258,7566666666.66667,,73233967692.1028,541988586206.897,1242289239.20493,,7663938303.07171
1961,20132220374.9093,19713123154.0997,7346566037.83392,,12561701694.3319,17275940449.3837,,41038192837.9035,4948564550.91046,50162299349.7871,4540447761.19403,,,7058361229.35415,1753850955.05808,,316957315284.249,5984433774.41601,67158050215.0488,96558204043.1028,1076699900.0,,266711460.241466,39232435784.0358,46649487320.4225,57266758179.5883,,2427244760.66918,1901856122.72231,191757729.477729,,,14599836396.388,5721994864.23066,5669689210.3186,4118647627.04746,599026300.0,244832039.173126,2897852693.27494,,3573719084.53354,,,,,9225996309.60148,14238126759.7335,17329620584.6147,11713348834.3069,7988888888.88889,,77741965703.3544,561940310344.828,1547388781.43133,,8067267030.61862
1962,18337691145.3688,19953923192.6277,7793042529.15992,,13436827166.5187,19231747851.5332,,42336211555.8268,5765971144.47142,47310737754.2287,4955543963.36869,,,7953274741.29303,1518207703.48997,,350242479710.816,6407796042.70357,75196980365.0325,105895435234.343,1143600000.0,,299309938.066264,42161481858.0819,52413872628.0045,64987857541.6256,,2826923076.92308,2001489602.18475,197738207.858208,,,15847582341.1664,6133158532.21667,6107076928.63372,4310163796.72407,652120900.0,261184041.789447,3284322201.27831,,3835883663.25123,,,,,9813996074.40157,16609632790.5843,18794066990.0612,12989649694.2812,8922222222.22222,,81247564156.8246,603639413793.103,1710004407.22785,,8814309884.21165
1963,18272123664.4715,21573443451.751,8414050621.01716,,14445805381.3872,23287712878.2002,,45140337826.9869,5702520146.03167,50812227918.5753,4836166666.66667,,,8466044979.87996,1824343870.71407,,384746828593.342,6958916548.12933,84227606649.8725,112232503744.1,1262800000.0,,357240895.712432,48421923459.1235,60035924617.9277,74379284603.3875,,4007692307.69231,2510110348.16184,253839557.949558,,,17193744109.0367,6699741645.07827,6553269535.51009,4630827383.45233,722784500.0,275968044.154887,3598272493.3109,,4084251592.81599,,,,,10854195658.3217,19631714759.6491,20342131881.5074,14283872299.0456,10355555555.5556,,86561961812.3249,637058551724.138,1539681490.78174,,9608717288.17057
1964,25605249381.7597,23835843813.735,9213648655.97511,,16168044450.2523,20963733694.9749,,49503663836.3665,6065708668.32735,59821862703.4023,5973366666.66667,,,9677401337.17309,2244146102.98333,,426774574129.451,7848987792.54261,93424179943.3453,123330404665.086,1299099900.0,,456206298.792753,56480289940.9899,65720771779.4768,87490590817.9803,,3476789681.58031,2674423922.48842,218914569.184569,,,20232048552.8327,7340766415.01868,7206522121.80418,5204955900.88198,776137500.0,305312048.849928,4353664866.67985,,4429202656.90741,,,,,11955995217.6019,21966876027.2517,22685490195.3119,15833133857.6281,11177777777.7778,,94407558351.1616,684144620689.655,1975701816.46615,,8192413793.10345
1965,28344705966.6389,26014244162.2791,10041659445.118,,17597783297.4583,22465522884.0988,,54649410478.5226,6183988944.34606,70565994356.1828,5760761904.7619,,,10870670865.3211,2387047395.70254,,467012617276.635,8680393838.88018,100927668584.29,134774688191.161,1331399900.0,,550150987.996732,59556105229.0052,70717012186.1774,97338107605.8236,,3141131708.31319,2956337669.29525,230024160.524161,,,22721869808.1438,5706251400.19577,8111945661.21624,5929231415.37169,852485300.0,344176055.068169,5163008077.37371,,4901711247.81592,,,,,13068994772.4021,25479619606.5284,24963947414.6983,16780226225.085,11966666666.6667,,101824755078.991,741904862068.965,1890767155.52622,,8427777777.77778
1966,28630474727.9023,27349284375.8855,10939526218.6393,,18894891312.2977,28283323733.1114,,61252415404.686,7256882086.19585,76854053259.209,5428518518.51852,,,11931740293.0378,2429308638.838,,505529224628.472,9306142171.60056,109306730313.216,143304275683.979,1390700000.0,,660663763.278256,45581230504.071,76622444787.3696,113046784179.289,,3957064541.39218,3143517943.82632,227534083.454083,,,24741480717.0389,5917437693.37459,8753940266.90184,6561108777.82444,928833000.0,390992062.55873,6109048736.61853,,5370108031.12859,,,,,14211394315.4423,29559436182.9186,27154716721.2854,18019402373.5388,14100000000.0,,108572752102.045,813032758620.69,1809185093.55188,,8781333333.33333
1967,24256667553.2569,30487524878.004,11634569521.9273,,20252508995.4745,31086389194.961,,65856924423.9721,7145068067.64138,73011350596.2485,5825170438.48704,,,13059064805.8774,2553595172.08743,,538186984638.651,9468272357.09549,118088635380.954,145100667772.69,1453500000.0,,652609075.682946,50134942204.0,84401995573.2456,132475614226.519,,4895076717.9993,3188924677.08953,238439290.867222,,,27143828098.7481,6016017227.09124,9577383653.18303,7464510709.7858,1034376400.0,441728182.676509,6194340079.8786,,6002607029.64663,,,,,15821393671.4425,32570905397.2885,29474881505.9928,19397044714.0963,15644444444.4444,,113116888210.787,859620034482.759,1597713469.09611,,9250000000.0
1968,26436857247.4982,32763365242.1384,12499863917.1003,,21654856965.4281,33930457425.2613,,72048833006.1602,7286820526.02462,70980323818.7853,5960212869.12968,,,13505574133.3333,2582179864.15493,,577537349543.932,8916565040.54632,128710572572.436,156527292653.157,1610500000.0,4886222554.66355,498365199.686946,53085455870.6667,91485448147.84,156897496759.128,,6167109472.42856,3330371551.21161,206576630.576631,,,30097635750.982,5228045415.27318,10227087165.2414,8041999160.0168,1112791100.0,485184189.62947,5736083835.29034,,6644693214.18343,,,,,17124793150.0827,32394326463.759,31277871668.8452,20712102793.8026,17500000000.0,,107759910067.889,940225000000.0,1593674184.56285,,10034444444.4444
1969,31256284543.6155,36738245878.1193,13647475854.0287,,24019653474.9959,37171640818.5863,,79405011124.8208,8456519044.38223,79847786729.1898,6450175213.74923,,,15414902666.6667,3112165727.38342,,644490038737.548,10177524838.9004,140660914840.59,177733486326.06,1715399900.0,5429812386.53195,435659609.943615,58447995017.3333,100996667239.335,184298841304.667,,7743940188.95006,3664552041.34299,221553612.873613,,,34086038090.3986,5814357708.51005,11136187439.8326,8683116337.67325,1221305700.0,551263864.202218,6420909789.83,,7287555035.34403,,,,,19256992297.2031,37090689287.8552,33967301561.0634,22442043274.074,19466666666.6667,,116464702803.218,1017438172413.79,2004435483.87097,,10285111111.1111
